City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
152,Naryan-Mar,RU,67.6713,53.087,-4.59,100,97,4.14,overcast clouds
153,Kamaishi,JP,39.2667,141.8833,27.55,62,47,8.19,scattered clouds
154,Sitka,US,57.0531,-135.33,39.09,93,100,5.75,moderate rain
155,Naze,JP,28.3667,129.4833,54.41,76,100,18.28,overcast clouds
156,Saldanha,ZA,-33.0117,17.9442,62.92,79,5,18.12,clear sky
157,Taoudenni,ML,22.6783,-3.9836,65.59,18,78,11.56,broken clouds
158,Bethel,US,41.3712,-73.414,42.67,92,100,0.0,moderate rain
159,Airai,TL,-8.9266,125.4092,63.7,88,100,2.66,overcast clouds
160,Raudeberg,NO,61.9875,5.1352,44.38,94,100,8.99,light rain
161,Asau,RO,46.4333,26.4,24.76,91,85,4.94,overcast clouds
162,Praia,CV,14.9215,-23.5087,73.94,40,0,6.91,clear sky
163,Mount Gambier,AU,-37.8333,140.7667,61.43,58,81,9.28,broken clouds
164,Codrington,AU,-38.2667,141.9667,63.27,66,100,13.49,overcast clouds
165,Coxim,BR,-18.5067,-54.76,76.87,90,99,4.61,overcast clouds
166,Adrar,MR,20.5022,-10.0711,64.2,16,1,10.31,clear sky
167,Laguna,US,38.421,-121.4238,63.64,48,0,1.01,clear sky
168,Rincon,US,32.296,-81.2354,73.58,76,20,3.0,few clouds
169,Bathsheba,BB,13.2167,-59.5167,77.61,65,20,13.8,few clouds
170,Schruns,AT,47.0709,9.9475,36.59,100,97,7.81,overcast clouds
171,Sur,OM,22.5667,59.5289,68.45,49,0,6.89,clear sky
172,Mecca,SA,21.4267,39.8261,72.25,84,63,4.34,broken clouds
173,Kupang,ID,-10.1667,123.5833,79.05,87,99,9.89,overcast clouds
174,Belaya Gora,RU,68.5333,146.4167,-37.03,100,69,1.07,broken clouds
175,George Town,MY,5.4112,100.3354,79.9,83,20,4.61,few clouds
176,Kaitangata,NZ,-46.2817,169.8464,48.56,97,100,2.68,light rain
